id,country,city
1006,bangladesh,sakhipur
1007,bangladesh,parsuram
1008,bangladesh,mathba
1009,bangladesh,mirzapur
1010,bangladesh,daulatkhan
1011,bangladesh,duptiair
1012,bangladesh,lakshmicharipara
1013,bangladesh,phulpur
1014,bangladesh,mundamala
1015,bangladesh,amtali
1016,bangladesh,shahbazpur
1017,bangladesh,sonagazi
1018,bangladesh,jagatpur
1019,bangladesh,harinakunda
1020,bangladesh,latifpur
1021,bangladesh,baisari
1022,bangladesh,dhubaria
1023,bangladesh,faradabad
1024,bangladesh,fatikchari
1025,barbados,bridgetown
1026,belarus,minsk
1027,belarus,homyel
1028,belarus,vitsyebsk
1029,belarus,hrodna
1030,belarus,mahilyow
1031,belarus,brest
1032,belarus,babruysk
1033,belarus,baranavichy
1034,belarus,horad-barysaw
1035,belarus,pinsk
1036,belarus,mazyr
1037,belarus,lida
1038,belarus,orsha
1039,belarus,salihorsk
1040,belarus,navapolatsk
1041,belarus,maladzyechna
1042,belarus,polatsk
1043,belarus,zhlobin
1044,belarus,rechytsa
1045,belarus,horad-zhodzina
1046,belarus,svyetlahorsk
1047,belarus,slutsk
1048,belarus,kobryn
1049,belarus,slonim
1050,belarus,vawkavysk
1051,belarus,kalinkavichy
1052,belarus,smarhon
1053,belarus,rahachow
1054,belarus,dzyarzhynsk
1055,belarus,asipovichy
1056,belarus,horki
1057,belarus,byaroza
1058,belarus,navahrudak
1059,belarus,vilyeyka
1060,belarus,luninyets
1061,belarus,krychaw
1062,belarus,ivatsevichy
1063,belarus,horad-smalyavichy
1064,belarus,marina-horka
1065,belarus,pruzhany
1066,belarus,pastavy
1067,belarus,dobrush
1068,belarus,fanipal
1069,belarus,hlybokaye
1070,belarus,stowbtsy
1071,belarus,zaslawye
1072,belarus,lyepyel
1073,belarus,ashmyany
1074,belarus,bykhaw
1075,belarus,ivanava
1076,belarus,zhytkavichy
1077,belarus,nyasvizh
1078,belarus,shchuchyn
1079,belarus,lahoysk
1080,belarus,klimavichy
1081,belarus,kastsyukovichy
1082,belarus,shklow
1083,belarus,drahichyn
1084,belarus,astravyets
1085,belarus,masty
1086,belarus,zhabinka
1087,belarus,stolin
1088,belarus,hantsavichy
1089,belarus,khoyniki
1090,belarus,malaryta
1091,belarus,mikashevichy
1092,belarus,lyelchytsy
1093,belarus,novalukoml
1094,belarus,haradok
1095,belarus,byerazino
1096,belarus,lyuban
1097,belarus,klyetsk
1098,belarus,byelaazyorsk
1099,belarus,staryya-darohi
1100,belarus,uzda
1101,belarus,lyakhavichy
1102,belarus,chervyen
1103,belarus,machulishchy
1104,belarus,pyetrykaw
1105,belarus,baran
1106,belarus,kapyl
1107,belarus,valozhyn
1108,belarus,mstsislaw
1109,belarus,chavusy
1110,belarus,byalynichy
1111,belarus,skidal
1112,belarus,talachyn
1113,belarus,byarozawka
1114,belarus,braslaw
1115,belarus,chachersk
1116,belarus,yelsk
1117,belarus,vyetka
1118,belarus,buda-kashalyova
1119,belgium,brussels
1120,belgium,namur
1121,belgium,antwerp
1122,belgium,gent
1123,belgium,charleroi
1124,belgium,liege
1125,belgium,bruges
1126,belgium,mons
1127,belgium,aalst
1128,belgium,mechelen
1129,belgium,sint-niklaas
1130,belgium,kortrijk
1131,belgium,hasselt
1132,belgium,ostend
1133,belgium,tournai
1134,belgium,roeselare
1135,belgium,mouscron
1136,belgium,verviers
1137,belgium,dendermonde
1138,belgium,turnhout
1139,belgium,vilvoorde
1140,belgium,ieper
1141,belgium,wavre
1142,belgium,oudenaarde
1143,belgium,tongeren
1144,belgium,arlon
1145,belgium,ath
1146,belgium,nivelles
1147,belgium,soignies
1148,belgium,maaseik
1149,belgium,huy
1150,belgium,eeklo
1151,belgium,tielt
1152,belgium,marche-en-famenne
1153,belgium,diksmuide
1154,belgium,hannut
1155,belgium,bastogne
1156,belgium,waremme
1157,belgium,thuin
1158,belgium,enghien
1159,belgium,dinant
1160,belgium,veurne
1161,belgium,virton
1162,belgium,philippeville
